CÓDIGO,CUENTA,BP GUAYAQUIL,BP PACIFICO,BP PICHINCHA,BP PRODUBANCO,BANCOS PRIVADOS GRANDES,BP AUSTRO,BP BOLIVARIANO,BP CITIBANK,BP DINERS,BP GENERAL RUMIÑAHUI,BP INTERNACIONAL,BP LOJA,BP MACHALA,BP SOLIDARIO,BANCOS PRIVADOS MEDIANOS,BP PROCREDIT,BP AMAZONAS,BP BANCO COMERCIAL DE MANABI,BP LITORAL,BP COOPNACIONAL,BP CAPITAL,BP DELBANK,BANCO ATLÁNTIDA S.A.,"BP BANCO  DESARROLLO DE LOS PUEBLOS  S.A., CODESARROLLO",BP VISIONFUND ECUADOR S.A.,BANCOS PRIVADOS PEQUEÑOS,TOTAL BANCOS PRIVADOS,BANCOS PRIVADOS COMERCIALES,BANCOS PRIVADOS CONSUMO,BANCOS PRIVADOS MICROCRÉDITO,BANCA MÚLTIPLE
, CARTERA ORIGINAL,6209448.83968,5547323.09655,13014792.20461,5804044.99038,30575609.13122,1707182.00224,3942287.52528,337432.228,2441645.85961,885520.77897,4075645.94063,631071.80899,728916.3709,607255.22028,15356957.7349,455600.91499,224949.85432,61935.72986,28652.77896,38306.31181,43761.22542,25605.92749,51120.36832,208214.51491,146009.55173,1284157.17781,47216724.04393,4413078.16863,3355819.41754,197129.92005,39250696.53771
,COMERCIAL AGREGADA,3083260.01652,1676656.89948,5368772.41459,3471896.64506,13600585.97565,522353.07276,2753037.7656,337432.228,158422.85202,70849.18588,3287938.89472,171989.52413,503968.2037,26.91782,7806018.64463,274882.61314,110703.91708,29180.1859,6000.90297,35580.31402,758.38395,20284.31397,3632.7054,30995.23389,0.0,512018.57032,21918623.1906,3625371.12272,235272.94087,3632.7054,18054346.42161
,CONSUMO AGREGADA,2477755.38335,3267167.12672,4755633.12958,1973290.2081,12473845.84775,1116113.26621,1035945.08371,0.0,2273020.97436,693526.4952,627305.9135,271453.13083,172535.25217,283469.72152,6473369.8375,12553.12759,104158.73932,24417.41994,21504.96511,414.28466,27929.69443,3787.04374,6734.23124,89085.11503,2519.51413,293104.13519,19240319.82044,627305.9135,2988052.43467,9253.74537,15615707.7269
,INMOBILIARIA Y VIVIENDA DE INTERÉS PÚBLICO,215671.34906,464026.19407,947848.25829,306785.76292,1934331.56434,55710.41368,150368.1376,0.0,166.47784,120762.19078,155273.42515,56334.40312,42421.63335,0.039,581036.72052,25956.59519,3590.6786,0.0,0.001,220.27304,0.0,1301.86544,125.0,26077.6044,0.0,57272.01767,2572640.30253,155273.42515,120928.66962,125.0,2296313.20776
,MICROCRÉDITO,431044.87207,9831.84894,1907698.9049,51224.95138,2399800.57729,13005.24959,603.98478,0.0,10035.55539,382.90711,5127.70726,131118.07791,8837.37097,323758.54194,492869.39495,142183.03427,6496.51932,8338.12402,1146.90988,2091.44009,15073.14704,232.70434,40628.43168,62056.56159,143490.0376,421736.90983,3314406.88207,5127.70726,11565.37238,184118.46928,3113595.33315
1473+1479+1485,EDUCATIVO,1717.21868,129641.02734,34839.49725,847.42292,167045.16619,0.0,2332.55359,0.0,0.0,0.0,0.0,176.673,1153.91071,0.0,3663.1373,25.5448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5448,170733.84829,0.0,0.0,0.0,170733.84829
,CARTERA REFINANCIADA,114254.84445,136453.96182,121125.86511,132690.24238,504524.91376,94182.87395,4046.15149,0.0,37280.08436,36804.9185,34201.66354,22463.71737,41166.24173,5458.90455,275604.55549,28978.3742,7169.34066,1031.62429,3662.96401,0.089,426.86709,1301.97652,5267.00501,11133.55533,1425.80555,60397.60166,840527.07091,34201.66354,77747.96687,6692.81056,721884.62994
,COMERCIAL AGREGADA,18908.6427,118403.45367,54998.23158,19439.79806,211750.12601,76303.56375,0.0,0.0,2443.01351,6756.07312,31950.16253,7320.21258,31092.7178,0.0,155865.74329,17365.28929,1377.44491,598.34855,1587.10706,0.0,0.0,863.51525,0.0,1038.01457,0.0,22829.71963,390445.58893,31950.16253,10786.19369,0.0,347709.23271
,CONSUMO AGREGADA,69501.47902,231.8611,53939.60392,109816.22965,233489.17369,14625.4162,1234.4178,0.0,34656.52485,26183.16525,1021.73579,6640.33731,8357.09907,1823.96947,94542.66574,468.06201,5791.89575,132.28324,2013.85571,0.003,224.57426,425.54388,0.0,2336.01401,0.0,11392.23186,339424.07129,1021.73579,62853.54581,0.0,275548.78969
,INMOBILIARIA Y VIVIENDA DE INTERES PÚBLICO,17603.44683,17222.27388,7194.38793,2957.29812,44977.40676,2987.86312,2762.41077,0.0,0.0,3865.68013,1128.56559,1601.10829,881.75107,0.0,13227.37897,1301.84138,0.0,0.0,38.94875,0.0,0.0,12.91639,0.0,1605.82964,0.0,2959.53616,61164.32189,1128.56559,3904.62888,0.0,56131.12742
,MICROCRÉDITO,8241.2759,223.64485,4990.82884,476.91655,13932.66614,266.03088,0.0,0.0,180.546,0.0,101.19963,6891.59806,780.40749,3634.93508,11854.71714,9842.10086,0.0,300.9925,23.05249,0.086,202.29283,0.001,5267.00501,6153.69711,1425.80555,23215.03335,49002.41663,101.19963,203.59849,6692.81056,42004.80795
,EDUCATIVO,0.0,372.72832,2.81284,0.0,375.54116,0.0,49.32292,0.0,0.0,0.0,0.0,10.46113,54.2663,0.0,114.05035,1.08066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08066,490.67217,0.0,0.0,0.0,490.67217
,CARTERA REESTRUCTURADA,38651.64239,184725.56167,652807.93158,167726.09701,1043911.23265,17210.49761,12952.8473,0.0,194842.12203,11273.52904,56350.49755,12915.87853,19880.61152,3315.16124,328741.14482,19531.39181,3640.61005,83.47741,451.39574,0.0,225.33458,111.17287,1014.24215,1713.95436,148.9587,26920.53767,1399572.91514,56350.49755,206567.04681,1163.20085,1135492.16993
,COMERCIAL AGREGADA,8733.44686,70350.28747,177046.26987,18416.16036,274546.16456,2639.08984,44.39171,0.0,7139.11045,2799.60725,45043.28925,7516.65417,12867.85574,0.003,78050.00141,15969.73636,702.48541,14.9172,18.53485,0.0,0.0,53.22762,0.0,0.001,0.0,16758.90244,369355.06841,45043.28925,9957.25255,0.0,314354.52661
,CONSUMO AGREGADA,18349.20217,104366.72299,221608.45103,139430.13338,483754.50957,14223.15971,12670.43482,0.0,187267.0398,4710.87692,7107.25708,3531.59509,6296.75555,854.52048,236661.63945,39.64346,2938.12464,28.71659,342.31639,0.0,171.45108,50.25035,0.0,513.46522,0.0,4083.96773,724500.11675,7107.25708,192320.23311,0.0,525072.62656
,INMOBILIARIA Y VIVIENDA DE INTERES PÚBLICO,4361.4858,8555.64814,73146.95852,9348.70835,95412.80081,182.93835,235.73549,0.0,0.0,3763.04387,4177.27559,250.88732,0.0,0.0,8609.88062,184.13516,0.0,0.0,0.0,0.0,0.0,7.6939,0.0,27.22795,0.0,219.05701,104241.73844,4177.27559,3763.04387,0.0,96301.41898
,MICROCRÉDITO,7207.50756,31.14648,180114.67405,531.09492,187884.42301,165.30971,0.0,0.0,435.97178,0.001,22.67563,1616.74195,713.05505,2460.63776,5414.39288,3335.83306,0.0,39.84362,90.5445,0.0,53.8835,0.001,1014.24215,1173.26019,148.9587,5856.56672,199155.38261,22.67563,526.51728,1163.20085,197442.98885
,EDUCATIVO,0.0,1421.75659,891.57811,0.0,2313.3347,0.0,2.28528,0.0,0.0,0.0,0.0,0.0,2.94518,0.0,5.23046,2.04377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04377,2320.60893,0.0,0.0,0.0,2320.60893
